"Mode","Indicator","Week Number","Week Ending","Week % Change from Baseline"
"Freight Rail","Intermodal","1","2020 Jan 04 12:00:00 AM","-7%"
"Freight Rail","Intermodal","2","2020 Jan 11 12:00:00 AM","-9%"
"Freight Rail","Intermodal","3","2020 Jan 18 12:00:00 AM","-8%"
"Freight Rail","Intermodal","4","2020 Jan 25 12:00:00 AM","-7%"
"Freight Rail","Intermodal","5","2020 Feb 01 12:00:00 AM","5%"
"Freight Rail","Intermodal","6","2020 Feb 08 12:00:00 AM","-9%"
"Freight Rail","Intermodal","7","2020 Feb 15 12:00:00 AM","-8%"
"Freight Rail","Intermodal","8","2020 Feb 22 12:00:00 AM","-6%"
"Freight Rail","Intermodal","9","2020 Feb 29 12:00:00 AM","-12%"
"Freight Rail","Intermodal","10","2020 Mar 07 12:00:00 AM","-14%"
"Freight Rail","Intermodal","11","2020 Mar 14 12:00:00 AM","-9%"
"Freight Rail","Intermodal","12","2020 Mar 21 12:00:00 AM","-11%"
"Freight Rail","Intermodal","13","2020 Mar 28 12:00:00 AM","-14%"
"Freight Rail","Intermodal","14","2020 Apr 04 12:00:00 AM","-16%"
"Freight Rail","Intermodal","15","2020 Apr 11 12:00:00 AM","-20%"
"Freight Rail","Intermodal","16","2020 Apr 18 12:00:00 AM","-19%"
"Freight Rail","Intermodal","17","2020 Apr 25 12:00:00 AM","-16%"
"Freight Rail","Intermodal","18","2020 May 02 12:00:00 AM","-15%"
"Freight Rail","Intermodal","19","2020 May 09 12:00:00 AM","-16%"
"Freight Rail","Intermodal","20","2020 May 16 12:00:00 AM","-14%"
"Freight Rail","Intermodal","21","2020 May 23 12:00:00 AM","-11%"
"Freight Rail","Intermodal","22","2020 May 30 12:00:00 AM","-11%"
"Freight Rail","Intermodal","23","2020 Jun 06 12:00:00 AM","-10%"
"Freight Rail","Intermodal","24","2020 Jun 13 12:00:00 AM","-7%"
"Freight Rail","Intermodal","25","2020 Jun 20 12:00:00 AM","-4%"
"Freight Rail","Intermodal","26","2020 Jun 27 12:00:00 AM","-5%"
"Freight Rail","Intermodal","27","2020 Jul 04 12:00:00 AM","8%"
"Freight Rail","Intermodal","28","2020 Jul 11 12:00:00 AM","-7%"
"Freight Rail","Intermodal","29","2020 Jul 18 12:00:00 AM","-2%"
"Freight Rail","Intermodal","30","2020 Jul 25 12:00:00 AM","-2%"
"Freight Rail","Intermodal","31","2020 Aug 01 12:00:00 AM","-2%"
"Freight Rail","Intermodal","32","2020 Aug 08 12:00:00 AM","2%"
"Freight Rail","Intermodal","33","2020 Aug 15 12:00:00 AM","2%"
"Freight Rail","Intermodal","34","2020 Aug 22 12:00:00 AM","5%"
"Freight Rail","Intermodal","35","2020 Aug 29 12:00:00 AM","3%"
"Freight Rail","Intermodal","36","2020 Sep 05 12:00:00 AM","25%"
"Freight Rail","Intermodal","37","2020 Sep 12 12:00:00 AM","-5%"
"Freight Rail","Intermodal","38","2020 Sep 19 12:00:00 AM","6%"
"Freight Rail","Intermodal","39","2020 Sep 26 12:00:00 AM","5%"
"Freight Rail","Intermodal","40","2020 Oct 03 12:00:00 AM","7%"
"Freight Rail","Intermodal","41","2020 Oct 10 12:00:00 AM","8%"
"Freight Rail","Intermodal","42","2020 Oct 17 12:00:00 AM","11%"
"Freight Rail","Intermodal","43","2020 Oct 24 12:00:00 AM","9%"
"Freight Rail","Intermodal","44","2020 Oct 31 12:00:00 AM","11%"
"Freight Rail","Intermodal","45","2020 Nov 07 12:00:00 AM","10%"
"Freight Rail","Intermodal","46","2020 Nov 14 12:00:00 AM","13%"
"Freight Rail","Intermodal","47","2020 Nov 21 12:00:00 AM","12%"
"Freight Rail","Intermodal","48","2020 Nov 28 12:00:00 AM","11%"
"Freight Rail","Intermodal","49","2020 Dec 05 12:00:00 AM","11%"
"Freight Rail","Intermodal","50","2020 Dec 12 12:00:00 AM","11%"
"Freight Rail","Intermodal","51","2020 Dec 19 12:00:00 AM","10%"
"Freight Rail","Intermodal","52","2020 Dec 26 12:00:00 AM","21%"
"Freight Rail","Intermodal","1","2021 Jan 02 12:00:00 AM","3%"
"Freight Rail","Intermodal","2","2021 Jan 09 12:00:00 AM","0%"
"Freight Rail","Intermodal","3","2021 Jan 16 12:00:00 AM","4%"
"Freight Rail","Intermodal","4","2021 Jan 23 12:00:00 AM","9%"
"Freight Rail","Intermodal","5","2021 Jan 30 12:00:00 AM","13%"
"Freight Rail","Intermodal","6","2021 Feb 06 12:00:00 AM","-3%"
"Freight Rail","Intermodal","7","2021 Feb 13 12:00:00 AM","-2%"
"Freight Rail","Intermodal","8","2021 Feb 20 12:00:00 AM","-22%"
"Freight Rail","Intermodal","9","2021 Feb 27 12:00:00 AM","-2%"
"Freight Rail","Intermodal","10","2021 Mar 06 12:00:00 AM","4%"
"Freight Rail","Intermodal","11","2021 Mar 13 12:00:00 AM","11%"
"Freight Rail","Intermodal","12","2021 Mar 20 12:00:00 AM","6%"
"Freight Rail","Intermodal","13","2021 Mar 27 12:00:00 AM","8%"
"Freight Rail","Intermodal","14","2021 Apr 03 12:00:00 AM","10%"
"Freight Rail","Intermodal","15","2021 Apr 10 12:00:00 AM","5%"
"Freight Rail","Intermodal","16","2021 Apr 17 12:00:00 AM","12%"
"Freight Rail","Intermodal","17","2021 Apr 24 12:00:00 AM","12%"
"Freight Rail","Intermodal","18","2021 May 01 12:00:00 AM","13%"
"Freight Rail","Intermodal","19","2021 May 08 12:00:00 AM","6%"
"Freight Rail","Intermodal","20","2021 May 15 12:00:00 AM","8%"
"Freight Rail","Intermodal","21","2021 May 22 12:00:00 AM","7%"
"Freight Rail","Intermodal","22","2021 May 29 12:00:00 AM","19%"
"Freight Rail","Intermodal","23","2021 Jun 05 12:00:00 AM","-2%"
"Freight Rail","Intermodal","24","2021 Jun 12 12:00:00 AM","6%"
"Freight Rail","Intermodal","25","2021 Jun 19 12:00:00 AM","6%"
"Freight Rail","Intermodal","26","2021 Jun 26 12:00:00 AM","3%"
"Freight Rail","Intermodal","27","2021 Jul 03 12:00:00 AM","21%"
"Freight Rail","Intermodal","28","2021 Jul 10 12:00:00 AM","-10%"
"Freight Rail","Intermodal","29","2021 Jul 17 12:00:00 AM","2%"
"Freight Rail","Intermodal","30","2021 Jul 24 12:00:00 AM","0%"
"Freight Rail","Intermodal","31","2021 Jul 31 12:00:00 AM","-1%"
"Freight Rail","Intermodal","32","2021 Aug 07 12:00:00 AM","1%"
"Freight Rail","Intermodal","33","2021 Aug 14 12:00:00 AM","-1%"
"Freight Rail","Intermodal","34","2021 Aug 21 12:00:00 AM","0%"
"Freight Rail","Intermodal","35","2021 Aug 28 12:00:00 AM","-1%"
"Freight Rail","Intermodal","36","2021 Sep 04 12:00:00 AM","16%"
"Freight Rail","Intermodal","37","2021 Sep 11 12:00:00 AM","-11%"
"Freight Rail","Intermodal","38","2021 Sep 18 12:00:00 AM","-3%"
"Freight Rail","Intermodal","39","2021 Sep 25 12:00:00 AM","-2%"
"Freight Rail","Intermodal","40","2021 Oct 02 12:00:00 AM","2%"
"Freight Rail","Intermodal","41","2021 Oct 09 12:00:00 AM","0%"
"Freight Rail","Intermodal","42","2021 Oct 16 12:00:00 AM","2%"
"Freight Rail","Intermodal","43","2021 Oct 23 12:00:00 AM","1%"
"Freight Rail","Intermodal","44","2021 Oct 30 12:00:00 AM","3%"
"Freight Rail","Intermodal","45","2021 Nov 06 12:00:00 AM","1%"
"Freight Rail","Intermodal","46","2021 Nov 13 12:00:00 AM","2%"
"Freight Rail","Intermodal","47","2021 Nov 20 12:00:00 AM","0%"
"Freight Rail","Intermodal","48","2021 Nov 27 12:00:00 AM","0%"
"Freight Rail","Intermodal","49","2021 Dec 04 12:00:00 AM","1%"
"Freight Rail","Intermodal","50","2021 Dec 11 12:00:00 AM","-1%"
"Freight Rail","Intermodal","51","2021 Dec 18 12:00:00 AM","3%"
"Freight Rail","Intermodal","52","2021 Dec 25 12:00:00 AM","20%"
"Freight Rail","Intermodal","1","2022 Jan 01 12:00:00 AM","-12%"
"Freight Rail","Intermodal","2","2022 Jan 08 12:00:00 AM","-20%"
"Freight Rail","Intermodal","3","2022 Jan 15 12:00:00 AM","-9%"
"Freight Rail","Intermodal","4","2022 Jan 22 12:00:00 AM","-7%"
"Freight Rail","Intermodal","5","2022 Jan 29 12:00:00 AM","0%"
"Freight Rail","Intermodal","6","2022 Feb 05 12:00:00 AM","-14%"
"Freight Rail","Intermodal","7","2022 Feb 12 12:00:00 AM","-2%"
"Freight Rail","Intermodal","8","2022 Feb 19 12:00:00 AM","-2%"
"Freight Rail","Intermodal","9","2022 Feb 26 12:00:00 AM","-6%"
"Freight Rail","Intermodal","10","2022 Mar 05 12:00:00 AM","-2%"
"Freight Rail","Intermodal","11","2022 Mar 12 12:00:00 AM","1%"
"Freight Rail","Intermodal","12","2022 Mar 19 12:00:00 AM","0%"
"Freight Rail","Intermodal","13","2022 Mar 26 12:00:00 AM","1%"
"Freight Rail","Intermodal","14","2022 Apr 02 12:00:00 AM","4%"
"Freight Rail","Intermodal","15","2022 Apr 09 12:00:00 AM","2%"
"Freight Rail","Intermodal","16","2022 Apr 16 12:00:00 AM","2%"
"Freight Rail","Intermodal","17","2022 Apr 23 12:00:00 AM","1%"
"Freight Rail","Intermodal","18","2022 Apr 30 12:00:00 AM","3%"
"Freight Rail","Intermodal","19","2022 May 07 12:00:00 AM","1%"
"Freight Rail","Intermodal","20","2022 May 14 12:00:00 AM","2%"
"Freight Rail","Intermodal","21","2022 May 21 12:00:00 AM","2%"
"Freight Rail","Intermodal","22","2022 May 28 12:00:00 AM","16%"
"Freight Rail","Intermodal","23","2022 Jun 04 12:00:00 AM","-6%"
"Freight Rail","Intermodal","24","2022 Jun 11 12:00:00 AM","2%"
"Freight Rail","Intermodal","25","2022 Jun 18 12:00:00 AM","0%"
"Freight Rail","Intermodal","26","2022 Jun 25 12:00:00 AM","-3%"
"Freight Rail","Intermodal","27","2022 Jul 02 12:00:00 AM","17%"
"Freight Rail","Intermodal","28","2022 Jul 09 12:00:00 AM","-14%"
"Freight Rail","Intermodal","29","2022 Jul 16 12:00:00 AM","-1%"
"Freight Rail","Intermodal","30","2022 Jul 23 12:00:00 AM","-2%"
"Freight Rail","Intermodal","31","2022 Jul 30 12:00:00 AM","-2%"
"Freight Rail","Intermodal","32","2022 Aug 06 12:00:00 AM","-2%"
"Freight Rail","Intermodal","33","2022 Aug 13 12:00:00 AM","-3%"
"Freight Rail","Intermodal","34","2022 Aug 20 12:00:00 AM","-3%"
